bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,lat,long,sqft_living15,sqft_lot15,month,year,real_price,predict_price
4,2.25,1960,14834,1.0,0,0,4,8,1330,630,1976,0,47.7434,-122.095,1540,15000,2,2015,474000.0,505658.5
5,2.5,3340,24755,2.0,0,0,3,10,3340,0,2002,0,47.4565,-122.066,3420,23274,8,2014,699000.0,644040.5
3,1.75,2110,7129,1.0,0,0,3,8,1280,830,1982,0,47.7219,-122.102,1810,8674,3,2015,540000.0,502802.22
3,2.5,1660,3990,2.0,0,0,3,7,1660,0,2009,0,47.5298,-122.268,1670,4050,6,2014,324500.0,321895.72
3,1.0,1200,8316,1.0,0,0,4,6,1200,0,1953,0,47.3231,-122.215,1250,8316,11,2014,190000.0,198434.81
2,1.0,1150,3775,1.0,0,0,3,7,1150,0,1917,0,47.6539,-122.329,2240,3753,9,2014,599950.0,643904.56
2,1.0,1160,32251,1.0,0,0,3,6,580,580,1963,2000,47.3537,-121.939,1160,33656,10,2014,330000.0,280366.78
4,2.0,2760,21465,1.0,0,0,4,9,2120,640,1979,0,47.3818,-122.165,2550,13144,4,2015,459950.0,439941.78
3,2.5,1350,1189,2.0,0,0,3,7,1080,270,2007,0,47.5218,-122.358,1300,1182,3,2015,270000.0,314094.03
4,2.75,3030,6625,2.0,0,0,3,8,3030,0,2011,0,47.4815,-122.152,3030,9620,6,2014,525000.0,518702.34
3,2.5,1690,4898,2.0,0,0,3,7,1690,0,2003,0,47.6834,-122.038,2220,4933,8,2014,464000.0,494019.78
3,1.75,2200,7200,1.0,0,0,3,8,1270,930,1962,0,47.3745,-122.276,1800,8000,7,2014,265000.0,311999.1
3,3.0,2610,22672,1.5,1,4,4,8,2610,0,1952,0,47.4414,-122.354,2810,22672,11,2014,1575000.0,965343.4
3,2.5,2060,8123,2.0,0,0,3,8,1010,1050,1977,0,47.6642,-122.13,1760,6170,12,2014,541338.0,529669.25
3,1.75,1460,12367,2.0,1,4,4,8,1120,340,1970,0,47.3311,-122.375,1970,18893,2,2015,629000.0,538994.0
3,2.5,2080,8690,1.0,0,0,3,8,1430,650,1974,0,47.4424,-122.344,2400,9625,9,2014,549950.0,402611.03
4,2.25,2420,7927,1.0,0,0,4,7,1400,1020,1973,0,47.7583,-122.343,2120,7693,6,2014,400000.0,473621.22
3,1.5,1640,5650,1.0,0,0,3,8,1640,0,1952,0,47.509,-122.251,1640,5650,10,2014,303100.0,339475.72
4,2.5,3250,13360,2.0,0,0,3,9,3250,0,2014,0,47.3524,-122.198,2612,14448,9,2014,486940.0,536054.75
3,2.5,2100,6825,2.0,0,0,3,8,2100,0,1994,0,47.4314,-122.189,2180,7614,11,2014,305000.0,357371.6
4,2.75,3010,10830,2.0,0,3,4,9,3010,0,1980,0,47.7005,-122.232,3010,10650,7,2014,1085500.0,1171231.2
2,2.25,1530,981,3.0,0,0,3,8,1480,50,2006,0,47.6533,-122.346,1530,1282,10,2014,520000.0,597336.75
5,3.25,3890,20005,1.0,0,0,3,10,2260,1630,1977,0,47.6312,-122.224,3450,20176,3,2015,1802750.0,1957782.2
3,1.5,1320,8100,1.0,0,0,4,7,1320,0,1951,0,47.7194,-122.371,1480,8100,7,2014,500000.0,488803.5
4,2.5,2370,9601,1.0,0,0,3,8,1570,800,1976,0,47.5327,-122.054,2550,10500,7,2014,530000.0,617585.6
2,1.5,1820,8867,2.0,0,0,3,7,1820,0,1921,0,47.4764,-122.269,1430,9288,6,2014,206000.0,290901.16
4,1.75,1420,5000,1.5,0,0,4,7,1420,0,1945,0,47.6771,-122.397,1490,5000,7,2014,535000.0,656377.6
4,2.5,2683,40386,2.0,0,0,4,9,2683,0,1987,0,47.6982,-122.138,2683,34800,6,2014,822000.0,824915.0
4,1.75,2340,9100,1.0,0,0,3,8,1610,730,1975,0,47.6401,-122.108,2470,11000,11,2014,700000.0,584269.9
3,2.5,1770,1714,3.0,0,0,3,8,1770,0,2012,0,47.6532,-122.348,1720,3360,2,2015,671500.0,738902.8
5,3.25,4390,11250,2.0,0,0,3,10,4390,0,2007,0,47.5785,-122.225,2160,9249,6,2014,1510000.0,1760576.8
4,2.5,2790,7673,2.0,0,0,3,9,2790,0,1989,0,47.6692,-122.136,2740,7837,4,2015,803000.0,856536.1
2,1.0,1370,5922,1.0,0,2,3,8,1130,240,1941,0,47.6473,-122.406,2460,6759,10,2014,703011.0,619626.06
3,2.25,1670,107157,1.0,0,0,3,7,1670,0,2007,0,47.2743,-122.009,3310,108900,3,2015,425000.0,395801.62
3,2.5,1880,6047,2.0,0,0,3,8,1880,0,1993,0,47.3722,-122.044,2120,7188,3,2015,380000.0,325519.53
3,1.75,1590,11914,1.0,0,2,3,7,1090,500,1957,0,47.4427,-122.274,1630,9052,5,2014,267500.0,298729.03
2,1.0,850,6000,1.0,0,0,3,6,850,0,1924,0,47.4972,-122.224,1100,6000,4,2015,229950.0,259311.03
4,2.0,2060,13400,1.0,0,2,4,8,2060,0,1957,0,47.4404,-122.34,1950,10370,8,2014,350000.0,573959.5
3,1.0,940,1948,1.0,0,0,5,6,940,0,1900,0,47.6733,-122.383,1700,5000,7,2014,551000.0,538757.4
3,2.0,2783,11177,2.0,0,0,3,8,2783,0,1910,1999,47.538,-122.38,1730,8018,7,2014,840000.0,813134.5
4,1.5,2040,8800,1.0,0,0,4,7,1020,1020,1961,0,47.5965,-122.139,1490,8800,5,2014,510000.0,507087.34
3,3.25,2320,6744,2.0,0,0,3,9,1930,390,2014,0,47.7132,-122.293,1700,6744,1,2015,674000.0,812494.44
4,2.25,2500,8500,1.0,0,0,4,8,1600,900,1978,0,47.5615,-122.131,2290,8927,6,2014,646000.0,716447.7
3,2.0,1440,3218,1.0,0,0,3,7,850,590,2008,0,47.5655,-122.36,1170,5000,2,2015,380000.0,345783.53
3,2.0,1440,4421,1.0,0,0,3,8,1440,0,2007,0,47.7188,-122.024,1440,4157,5,2014,413800.0,425382.47
2,1.75,1110,1773,2.0,0,0,3,8,1110,0,2014,0,47.5647,-122.293,1420,2855,6,2014,229800.0,368971.75
3,2.5,2400,7478,2.0,0,0,3,9,2400,0,2002,0,47.7362,-121.974,2980,8182,9,2014,489950.0,583350.1
4,2.5,2210,5002,1.0,0,0,3,7,1370,840,1977,0,47.6637,-122.401,1970,4920,3,2015,733000.0,746048.06
6,3.0,3020,13783,2.0,0,0,3,8,3020,0,1952,2002,47.5722,-122.226,1720,13500,6,2014,900000.0,941320.1
3,2.5,3040,5326,2.0,0,0,3,9,3040,0,2008,0,47.4472,-122.207,3040,5442,8,2014,500000.0,494726.47
3,2.5,2180,5000,1.0,0,0,4,8,1240,940,1977,0,47.5828,-122.396,2000,5000,12,2014,625000.0,744436.94
3,2.0,1830,10873,1.0,0,0,3,8,1830,0,1989,0,47.3066,-122.394,2490,8976,7,2014,305000.0,279582.12
4,1.0,1570,4000,1.5,0,0,3,7,1570,0,1920,0,47.6275,-122.321,1610,4000,9,2014,525000.0,621715.25
3,1.0,850,6906,1.0,0,0,3,6,850,0,1948,0,47.7441,-122.314,1150,6907,6,2014,325000.0,265369.53
3,1.75,1900,3783,1.5,0,0,5,7,1110,790,1927,0,47.5742,-122.315,1530,5098,9,2014,615000.0,525031.0
2,2.25,2460,16940,1.5,0,4,4,9,1930,530,1936,0,47.6792,-122.404,2260,6851,6,2014,1370000.0,1171717.0
5,3.5,2390,6600,2.0,0,0,5,7,2390,0,1977,0,47.3737,-122.115,1140,6600,8,2014,267500.0,319403.78
3,1.75,1150,8690,1.0,0,0,4,7,1150,0,1977,0,47.3729,-122.115,1330,7040,11,2014,166600.0,228377.94
3,2.0,1910,13505,1.0,0,0,3,8,1910,0,1955,0,47.7114,-122.23,2010,8000,4,2015,412450.0,638384.5
3,2.5,1680,1683,2.0,0,0,3,9,1120,560,2014,0,47.6425,-122.374,1610,1618,3,2015,629950.0,724340.75
2,1.0,900,5160,1.0,0,0,3,6,900,0,1952,0,47.525,-122.356,900,5160,5,2014,219000.0,232426.22
4,2.5,1785,2552,2.0,0,0,3,8,1785,0,2009,0,47.3582,-122.2,1691,2700,11,2014,282000.0,291549.34
2,1.75,2330,10143,1.0,0,2,4,7,1220,1110,1953,0,47.4899,-122.359,2560,9750,9,2014,689000.0,579850.5
2,1.0,960,2700,1.0,0,0,3,6,780,180,1904,0,47.6013,-122.299,1400,3000,3,2015,345000.0,444104.9
3,3.0,3760,188760,1.0,0,0,4,10,2640,1120,1979,0,47.308,-122.087,2820,50543,9,2014,555000.0,674673.75
3,1.75,1970,8200,1.0,0,0,5,8,1420,550,1963,0,47.7602,-122.363,2140,8000,6,2014,540000.0,647529.2
5,3.0,2800,5700,2.0,0,0,3,8,2800,0,2014,0,47.4969,-122.145,2910,5349,10,2014,639983.0,543143.25
4,2.5,2630,6247,2.0,0,0,3,8,2630,0,1992,0,47.5662,-122.0,2130,4668,9,2014,575000.0,643003.9
3,2.25,1710,4561,2.0,0,0,4,8,1710,0,1994,0,47.5691,-122.004,1810,4770,7,2014,500000.0,502047.97
2,1.0,1370,11584,1.0,0,0,4,6,1370,0,1950,0,47.4224,-122.293,1330,8012,11,2014,237600.0,235780.5
3,3.5,3680,11491,2.0,0,2,3,11,3680,0,1999,0,47.5647,-122.128,3710,10030,7,2014,1225000.0,1143732.2
4,2.5,3170,8523,2.0,0,0,3,9,3170,0,2008,0,47.6854,-122.184,3230,8523,6,2014,820000.0,1022019.9
3,1.0,1110,7962,1.0,0,0,3,7,1110,0,1962,0,47.5035,-122.36,1200,8094,6,2014,210000.0,274278.1
3,3.5,1370,1764,2.0,0,0,3,8,1180,190,2000,0,47.6511,-122.368,1400,1398,3,2015,525000.0,547923.8
4,2.75,2460,9520,1.0,0,1,3,8,1680,780,1976,0,47.7021,-122.233,2380,9600,3,2015,704111.0,694184.4
3,3.0,2240,10479,2.0,0,0,4,7,1710,530,1950,0,47.5529,-122.356,1530,5244,8,2014,399000.0,511663.9
3,1.0,970,5922,1.5,0,0,3,7,970,0,1949,0,47.719,-122.321,1730,6128,3,2015,354950.0,400628.22
4,1.75,1650,7200,1.0,0,0,3,7,1100,550,1977,0,47.3944,-122.187,1620,7374,10,2014,255000.0,250600.34
4,2.5,2270,5000,2.0,0,0,3,9,2270,0,2014,0,47.6916,-122.37,1210,5000,9,2014,812000.0,838836.25
3,2.5,2220,6380,1.5,0,0,4,8,1660,560,1931,0,47.6974,-122.313,950,6380,9,2014,650000.0,658867.4
3,2.0,1140,7078,1.0,0,0,4,7,1140,0,1991,0,47.4057,-122.185,1460,7078,9,2014,257500.0,238164.97
4,3.0,2770,2650,2.0,0,0,3,9,2180,590,2014,0,47.6435,-122.354,1820,2960,9,2014,1112000.0,1052795.0
3,2.5,1900,7984,2.0,0,0,3,8,1900,0,1993,0,47.7433,-122.194,2650,9352,7,2014,435000.0,510887.9
4,2.5,2620,9525,2.5,0,0,4,9,2620,0,1974,0,47.5631,-122.219,2580,9525,8,2014,838400.0,1041887.5
3,2.25,1810,9845,1.0,0,0,4,8,1810,0,1959,1991,47.5505,-122.221,1900,10083,7,2014,713400.0,788403.56
2,1.5,1750,19709,1.5,0,0,4,8,1440,310,1978,0,47.3351,-122.044,1950,21075,8,2014,575000.0,311905.5
3,1.75,1490,7150,1.0,0,0,5,6,1490,0,1967,0,47.5015,-122.124,1350,9100,8,2014,310000.0,334958.7
3,2.5,1400,1529,2.0,0,0,3,7,1400,0,2005,0,47.5535,-121.997,1440,1536,9,2014,358000.0,386869.9
4,2.5,3480,13421,2.0,0,0,3,11,3480,0,1995,0,47.5504,-122.097,3290,9642,10,2014,878000.0,1019599.25
4,2.25,2120,9921,2.0,0,0,3,8,2120,0,1981,0,47.5593,-122.082,1890,7845,4,2015,800000.0,613849.5
3,2.5,2230,7934,2.0,0,0,3,7,2230,0,2005,0,47.5439,-121.88,2310,4818,8,2014,445000.0,451494.4
5,2.75,2440,8000,1.0,0,0,4,7,1240,1200,1972,0,47.7283,-122.17,1780,8391,6,2014,525000.0,506195.12
4,2.5,2520,3980,2.0,0,0,3,8,2520,0,2005,0,47.5401,-122.07,2610,3980,8,2014,598500.0,688292.56
4,2.5,2680,12215,1.0,1,4,3,9,1590,1090,1956,0,47.4396,-122.353,2960,19964,6,2014,1309500.0,829680.4
3,1.0,1180,5350,1.5,0,0,4,6,1180,0,1959,0,47.505,-122.259,1490,5350,12,2014,260000.0,249594.58
3,2.5,1780,7848,1.0,0,0,3,7,1320,460,1978,0,47.3608,-122.056,1680,7848,4,2015,270500.0,290909.06
33,1.75,1620,6000,1.0,0,0,5,7,1040,580,1947,0,47.6878,-122.331,1330,4700,6,2014,640000.0,410017.9
2,2.0,1070,649,2.0,0,0,3,9,720,350,2008,0,47.5213,-122.357,1070,928,3,2015,259950.0,354130.53
2,1.0,1510,3360,1.0,0,0,3,7,880,630,1924,0,47.6135,-122.297,1330,3360,9,2014,525000.0,551580.6
4,2.5,2660,8887,1.0,0,0,4,8,1880,780,1967,0,47.439,-122.342,1910,9620,4,2015,513000.0,486922.66
6,2.5,2000,7650,1.5,0,0,4,7,1790,210,1960,0,47.3841,-122.288,1710,7650,1,2015,265000.0,289942.7
4,2.5,2230,7200,1.0,0,0,4,7,1220,1010,1957,0,47.589,-122.156,1920,7200,10,2014,556000.0,597096.5
4,3.5,2780,9550,2.0,0,4,5,10,2530,250,1978,0,47.454,-122.373,2724,10634,4,2015,995000.0,959940.25
3,3.5,3600,37982,2.0,0,0,4,8,3600,0,1996,0,47.6982,-121.917,2050,18019,3,2015,660000.0,739390.5
3,2.5,1600,6250,2.0,0,0,3,7,1600,0,1995,0,47.3675,-122.02,1760,6110,4,2015,308950.0,295227.47
3,2.25,1960,12350,1.0,0,0,4,7,1960,0,1961,0,47.5247,-122.052,1920,13608,4,2015,525000.0,526976.56
3,1.0,1240,5000,1.5,0,0,5,7,1240,0,1909,0,47.6755,-122.367,1240,4900,7,2014,529950.0,626031.75
5,3.5,2473,9282,2.0,0,1,5,7,2473,0,1963,0,47.3966,-122.308,2040,10920,3,2015,343000.0,390628.9
4,2.5,2880,12349,2.0,0,0,3,10,2880,0,1996,0,47.5879,-121.973,3490,11539,10,2014,710000.0,734879.6
3,2.0,1769,9300,1.0,0,0,4,7,1769,0,1955,2009,47.441,-122.342,1870,10226,6,2014,495000.0,396618.4
4,2.5,2150,7670,1.0,0,0,5,7,1240,910,1976,0,47.3942,-122.189,1610,7350,10,2014,229950.0,315633.5
3,2.25,1980,8000,1.0,0,0,4,9,1560,420,1974,0,47.3149,-122.378,2360,8000,5,2014,295000.0,341130.16
4,2.5,3350,4501,2.0,0,0,3,9,2640,710,2002,0,47.688,-122.379,1000,4500,4,2015,925000.0,1051342.6
3,1.75,2050,16313,1.0,0,0,2,8,2050,0,1973,0,47.5743,-122.212,3180,10264,7,2014,623000.0,900223.7
4,1.75,2330,4000,2.0,0,0,5,8,1300,1030,1924,0,47.666,-122.289,2040,4000,5,2014,840000.0,975180.6
3,2.5,2420,198198,2.0,0,0,3,9,2420,0,1997,0,47.772,-122.022,2780,179467,3,2015,692500.0,720585.2
2,1.25,1240,2150,2.0,0,0,3,8,1240,0,2014,0,47.6884,-122.374,1340,5289,6,2014,545000.0,495604.34
3,2.25,1570,43350,1.0,0,3,4,7,1570,0,1967,0,47.2377,-122.016,1570,220849,12,2014,325000.0,334875.78
4,2.5,3730,9847,2.0,0,0,3,10,3730,0,1997,0,47.587,-121.976,3490,10219,8,2014,840000.0,853557.6
3,1.75,1340,196020,1.0,0,0,4,7,1340,0,1987,0,47.2931,-121.992,2250,232230,2,2015,340000.0,320070.34
3,1.75,1720,5899,1.0,0,1,3,8,1220,500,1986,0,47.5399,-122.385,1900,6244,6,2014,514000.0,546384.06
4,1.0,1550,7740,1.5,0,0,3,6,1550,0,1954,0,47.5222,-122.375,1220,7740,6,2014,385200.0,331590.03
4,1.75,2090,6485,1.0,0,0,3,7,1280,810,1956,0,47.4958,-122.265,2190,9600,4,2015,210000.0,323805.38
3,3.0,2450,211266,1.5,0,3,3,8,2450,0,2004,0,47.2215,-122.067,2300,263492,5,2015,530000.0,543647.9
4,2.5,2420,8404,2.0,0,0,3,8,2420,0,2013,0,47.372,-122.13,2440,4822,12,2014,365000.0,377170.22
4,2.0,1920,7803,1.0,0,0,3,7,1080,840,1962,0,47.758,-122.325,1940,8147,12,2014,360000.0,393894.34
3,2.5,1260,1622,3.0,0,0,3,8,1260,0,2009,0,47.7325,-122.343,1340,1188,7,2014,305000.0,335525.28
2,1.0,910,9000,1.0,0,0,3,5,910,0,1923,0,47.526,-121.81,1290,9000,10,2014,244500.0,180668.34
2,1.0,910,9000,1.0,0,0,4,6,910,0,1983,0,47.4463,-121.771,1410,9440,10,2014,239900.0,266307.72
2,1.0,1220,7250,1.0,0,0,4,6,1220,0,1914,0,47.3585,-121.975,1350,20250,10,2014,135000.0,253385.94
3,1.75,1770,29004,1.0,0,0,3,8,1770,0,1959,0,47.3204,-122.364,2300,24534,7,2014,215000.0,283904.8
3,2.75,2080,16740,1.0,0,3,3,8,1580,500,1966,0,47.3632,-122.324,2175,7568,1,2015,600000.0,424380.16
4,2.5,2840,12866,1.0,0,0,4,9,1780,1060,1977,0,47.6388,-122.167,2840,13209,7,2014,729032.0,869994.0
4,2.25,2920,20400,1.0,0,0,4,11,2920,0,1966,0,47.6237,-122.228,3080,20400,8,2014,1650000.0,1973190.5
3,1.75,1410,5000,1.0,0,0,4,7,810,600,1923,0,47.6727,-122.395,1760,5000,7,2014,550000.0,619331.4
3,2.25,3800,33825,1.0,0,0,4,10,3330,470,1976,0,47.3797,-122.152,3470,14484,6,2014,575000.0,634833.0
4,2.5,2590,9354,2.0,0,0,4,9,2590,0,1993,0,47.7703,-122.193,2730,9264,8,2014,500000.0,600489.4
3,1.75,1220,9732,1.0,0,0,3,7,1220,0,1965,0,47.7736,-122.214,1630,10007,12,2014,333500.0,359449.4
3,2.5,3110,217800,2.0,0,0,3,9,3110,0,2001,0,47.3281,-122.124,2220,217800,10,2014,559000.0,647466.25
3,1.0,1590,8470,1.0,0,0,4,7,1140,450,1967,0,47.4473,-122.159,1570,9375,4,2015,314950.0,299721.6
3,2.25,2640,7544,1.0,0,0,3,10,2640,0,1995,0,47.6224,-122.195,2650,7904,10,2014,1220000.0,1382391.2
4,3.25,3100,3900,2.0,0,2,5,9,2090,1010,1923,0,47.6385,-122.348,2110,3900,8,2014,1450000.0,1293316.1
3,2.75,3450,5350,1.5,0,3,4,9,2590,860,1925,0,47.6389,-122.407,2910,5350,3,2015,1295000.0,1377652.2
2,1.0,1330,92782,1.0,0,0,2,6,1330,0,1950,0,47.6624,-121.868,1280,168141,4,2015,455000.0,273177.66
4,1.5,1440,3200,1.0,0,1,4,7,960,480,1960,0,47.5269,-122.383,1650,6400,5,2015,589500.0,529816.2
3,2.25,1640,8625,1.0,0,0,3,8,1320,320,1987,0,47.6772,-122.153,1770,9476,2,2015,580000.0,586614.6
4,1.5,2670,10026,2.0,0,0,3,8,2670,0,1996,0,47.2659,-122.215,2420,11900,5,2014,347000.0,338149.28
4,1.75,1730,7245,1.0,0,0,4,7,880,850,1955,0,47.5995,-122.144,1550,7245,5,2015,423000.0,512511.0
4,2.75,3500,6226,2.0,0,0,3,9,3500,0,2004,0,47.6846,-122.045,3480,7222,10,2014,775000.0,889923.1
3,2.5,1670,8023,1.0,0,0,5,7,1170,500,1960,0,47.615,-122.117,1960,8964,4,2015,696000.0,585477.6
3,1.0,1330,40259,1.0,0,0,4,7,1330,0,1977,0,47.552,-121.89,1710,34787,9,2014,535000.0,362600.34
5,1.75,1830,47916,1.5,0,0,3,6,1830,0,1948,0,47.4881,-121.777,2010,13135,7,2014,452000.0,328406.72
4,2.5,2040,5508,2.0,0,0,4,8,2040,0,1996,0,47.5719,-122.007,2130,5496,11,2014,575000.0,593023.25
4,2.25,2560,9731,2.0,0,0,4,7,2560,0,1973,0,47.7261,-122.246,1860,9731,6,2014,650000.0,539993.9
3,2.25,1790,6930,1.0,0,0,3,7,1390,400,1974,0,47.3536,-122.317,1810,7420,11,2014,304500.0,263402.84
2,1.0,1060,4960,1.0,0,0,3,7,1060,0,1926,0,47.6896,-122.331,1420,4960,5,2014,515000.0,489802.28
3,1.0,840,8400,1.0,0,0,3,6,840,0,1959,0,47.3277,-122.343,840,9450,9,2014,105000.0,185102.34
3,3.5,2480,3200,2.0,0,0,3,10,2480,0,2010,0,47.5951,-122.307,1980,3200,3,2015,910000.0,1173646.2
3,2.5,1730,4408,2.0,0,0,3,8,1730,0,1996,0,47.5683,-122.005,1730,4408,10,2014,445000.0,512556.66
3,2.5,2200,7201,2.0,0,0,3,8,2200,0,1994,0,47.3821,-122.207,2250,7240,12,2014,302495.0,336103.25
4,1.75,2600,11325,1.0,0,0,4,7,1610,990,1969,0,47.3954,-122.206,1720,11088,7,2014,304900.0,336964.9
4,2.5,2060,16000,2.0,0,0,3,6,2060,0,1993,0,47.2849,-122.251,1530,8000,1,2015,286000.0,243936.92
3,1.75,1480,4050,1.0,0,0,3,7,870,610,1926,0,47.681,-122.304,1350,4500,11,2014,402300.0,550052.8
3,2.0,1770,2150,3.0,0,0,3,8,1770,0,1999,0,47.6102,-122.314,2010,3200,12,2014,660000.0,753915.0
4,2.5,2810,11902,2.0,0,0,4,9,2810,0,1993,0,47.5303,-122.143,2990,10754,9,2014,747500.0,770082.56
4,1.75,2740,8520,1.0,0,2,3,8,1370,1370,1954,0,47.5445,-122.263,2740,9286,5,2014,657000.0,752776.25
3,2.5,1909,1300,3.0,0,0,3,8,1766,143,2006,0,47.6538,-122.352,1780,1248,11,2014,630500.0,717440.1
5,1.75,2660,10637,1.5,0,0,5,7,1670,990,1922,0,47.6945,-122.292,1570,6825,10,2014,760000.0,754675.4
5,2.5,1960,7350,1.0,0,0,4,7,1360,600,1969,0,47.4368,-122.165,1900,7350,3,2015,256500.0,318482.5
3,1.0,1840,8100,1.0,0,0,4,7,920,920,1953,0,47.455,-122.35,1250,8100,2,2015,340000.0,296735.34
3,2.5,3290,90796,2.0,0,0,4,10,3290,0,1992,0,47.3154,-122.079,2700,55023,2,2015,685000.0,619904.5
3,2.5,1740,3082,2.0,0,0,3,8,1740,0,2000,0,47.5489,-122.006,1910,3075,3,2015,550000.0,497418.7
2,2.5,2300,6984,1.0,0,0,3,8,2300,0,2006,0,47.7087,-122.015,1820,4950,1,2015,665000.0,703220.94
2,1.75,1550,7764,1.0,1,4,4,8,1550,0,1965,1986,47.358,-122.446,1690,11620,8,2014,600000.0,624623.1
4,3.0,1990,6180,2.0,0,0,3,7,1990,0,1990,0,47.3083,-122.36,1910,6180,5,2014,273000.0,292036.9
2,1.0,1060,3325,1.5,0,0,4,6,770,290,1932,0,47.6896,-122.307,1820,4275,7,2014,344000.0,462954.47
2,2.75,3690,32044,2.0,1,4,3,12,3690,0,1989,0,47.4485,-122.369,2310,26988,9,2014,1899000.0,1596583.0
3,1.0,1260,6000,1.0,0,3,3,7,1260,0,1951,0,47.5058,-122.384,2020,6600,2,2015,550000.0,587044.06
